_id,name,area_id,city_id
1,东城区,110101,110100
2,西城区,110102,110100
3,朝阳区,110105,110100
4,丰台区,110106,110100
5,石景山区,110107,110100
6,海淀区,110108,110100
7,门头沟区,110109,110100
8,房山区,110111,110100
9,通州区,110112,110100
10,顺义区,110113,110100
11,昌平区,110114,110100
12,大兴区,110115,110100
13,怀柔区,110116,110100
14,平谷区,110117,110100
15,密云区,110118,110100
16,延庆区,110119,110100
17,和平区,120101,120100
18,河东区,120102,120100
19,河西区,120103,120100
20,南开区,120104,120100
21,河北区,120105,120100
22,红桥区,120106,120100
23,东丽区,120110,120100
24,西青区,120111,120100
25,津南区,120112,120100
26,北辰区,120113,120100
27,武清区,120114,120100
28,宝坻区,120115,120100
29,滨海新区,120116,120100
30,宁河区,120117,120100
31,静海区,120118,120100
32,蓟州区,120119,120100
33,市辖区,130101,130100
34,长安区,130102,130100
35,桥西区,130104,130100
36,新华区,130105,130100
37,井陉矿区,130107,130100
38,裕华区,130108,130100
39,藁城区,130109,130100
40,鹿泉区,130110,130100
41,栾城区,130111,130100
42,井陉县,130121,130100
43,正定县,130123,130100
44,行唐县,130125,130100
45,灵寿县,130126,130100
46,高邑县,130127,130100
47,深泽县,130128,130100
48,赞皇县,130129,130100
49,无极县,130130,130100
50,平山县,130131,130100
51,元氏县,130132,130100
52,赵县,130133,130100
53,晋州市,130183,130100
54,新乐市,130184,130100
55,市辖区,130201,130200
56,路南区,130202,130200
57,路北区,130203,130200
58,古冶区,130204,130200
59,开平区,130205,130200
60,丰南区,130207,130200
61,丰润区,130208,130200
62,曹妃甸区,130209,130200
63,滦县,130223,130200
64,滦南县,130224,130200
65,乐亭县,130225,130200
66,迁西县,130227,130200
67,玉田县,130229,130200
68,遵化市,130281,130200
69,迁安市,130283,130200
70,市辖区,130301,130300
71,海港区,130302,130300
72,山海关区,130303,130300
73,北戴河区,130304,130300
74,抚宁区,130306,130300
75,青龙满族自治县,130321,130300
76,昌黎县,130322,130300
77,卢龙县,130324,130300
78,市辖区,130401,130400
79,邯山区,130402,130400
80,丛台区,130403,130400
81,复兴区,130404,130400
82,峰峰矿区,130406,130400
83,邯郸县,130421,130400
84,临漳县,130423,130400
85,成安县,130424,130400
86,大名县,130425,130400
87,涉县,130426,130400
88,磁县,130427,130400
89,肥乡县,130428,130400
90,永年县,130429,130400
91,邱县,130430,130400
92,鸡泽县,130431,130400
93,广平县,130432,130400
94,馆陶县,130433,130400
95,魏县,130434,130400
96,曲周县,130435,130400
97,武安市,130481,130400
98,市辖区,130501,130500
99,桥东区,130502,130500
100,桥西区,130503,130500
101,邢台县,130521,130500
102,临城县,130522,130500
103,内丘县,130523,130500
104,柏乡县,130524,130500
105,隆尧县,130525,130500
106,任县,130526,130500
107,南和县,130527,130500
108,宁晋县,130528,130500
109,巨鹿县,130529,130500
110,新河县,130530,130500
111,广宗县,130531,130500
112,平乡县,130532,130500
113,威县,130533,130500
114,清河县,130534,130500
115,临西县,130535,130500
116,南宫市,130581,130500
117,沙河市,130582,130500
118,市辖区,130601,130600
119,竞秀区,130602,130600
120,莲池区,130606,130600
121,满城区,130607,130600
122,清苑区,130608,130600
123,徐水区,130609,130600
124,涞水县,130623,130600
125,阜平县,130624,130600
126,定兴县,130626,130600
127,唐县,130627,130600
128,高阳县,130628,130600
129,容城县,130629,130600
130,涞源县,130630,130600
131,望都县,130631,130600
132,安新县,130632,130600
133,易县,130633,130600
134,曲阳县,130634,130600
135,蠡县,130635,130600
136,顺平县,130636,130600
137,博野县,130637,130600
138,雄县,130638,130600
139,涿州市,130681,130600
140,安国市,130683,130600
141,高碑店市,130684,130600
142,市辖区,130701,130700
143,桥东区,130702,130700
144,桥西区,130703,130700
145,宣化区,130705,130700
146,下花园区,130706,130700
147,万全区,130708,130700
148,崇礼区,130709,130700
149,张北县,130722,130700
150,康保县,130723,130700
151,沽源县,130724,130700
152,尚义县,130725,130700
153,蔚县,130726,130700
154,阳原县,130727,130700
155,怀安县,130728,130700
156,怀来县,130730,130700
157,涿鹿县,130731,130700
158,赤城县,130732,130700
159,市辖区,130801,130800
160,双桥区,130802,130800
161,双滦区,130803,130800
162,鹰手营子矿区,130804,130800
163,承德县,130821,130800
164,兴隆县,130822,130800
165,平泉县,130823,130800
166,滦平县,130824,130800
167,隆化县,130825,130800
168,丰宁满族自治县,130826,130800
169,宽城满族自治县,130827,130800
170,围场满族蒙古族自治县,130828,130800
171,市辖区,130901,130900
172,新华区,130902,130900
173,运河区,130903,130900
174,沧县,130921,130900
175,青县,130922,130900
176,东光县,130923,130900
177,海兴县,130924,130900
178,盐山县,130925,130900
179,肃宁县,130926,130900
180,南皮县,130927,130900
181,吴桥县,130928,130900
182,献县,130929,130900
183,孟村回族自治县,130930,130900
184,泊头市,130981,130900
185,任丘市,130982,130900
186,黄骅市,130983,130900
187,河间市,130984,130900
188,市辖区,131001,131000
189,安次区,131002,131000
190,广阳区,131003,131000
191,固安县,131022,131000
192,永清县,131023,131000
193,香河县,131024,131000
194,大城县,131025,131000
195,文安县,131026,131000
196,大厂回族自治县,131028,131000
197,霸州市,131081,131000
198,三河市,131082,131000
199,市辖区,131101,131100
200,桃城区,131102,131100
201,冀州区,131103,131100
202,枣强县,131121,131100
203,武邑县,131122,131100
204,武强县,131123,131100
205,饶阳县,131124,131100
206,安平县,131125,131100
207,故城县,131126,131100
208,景县,131127,131100
209,阜城县,131128,131100
210,深州市,131182,131100
211,定州市,139001,139000
212,辛集市,139002,139000
213,市辖区,140101,140100
214,小店区,140105,140100
215,迎泽区,140106,140100
216,杏花岭区,140107,140100
217,尖草坪区,140108,140100
218,万柏林区,140109,140100
219,晋源区,140110,140100
220,清徐县,140121,140100
221,阳曲县,140122,140100
222,娄烦县,140123,140100
223,古交市,140181,140100
224,市辖区,140201,140200
225,城区,140202,140200
